game_session,installation_id,title,num_correct,num_incorrect,accuracy,accuracy_group
6bdf9623adc94d89,0006a69f,Mushroom Sorter (Assessment),1,0,1,3
77b8ee947eb84b4e,0006a69f,Bird Measurer (Assessment),0,11,0,0
901acc108f55a5a1,0006a69f,Mushroom Sorter (Assessment),1,0,1,3
9501794defd84e4d,0006a69f,Mushroom Sorter (Assessment),1,1,0.5,2
a9ef3ecb3d1acc6a,0006a69f,Bird Measurer (Assessment),1,0,1,3
197a373a77101924,0006c192,Cauldron Filler (Assessment),1,0,1,3
957406a905d59afd,0006c192,Bird Measurer (Assessment),1,1,0.5,2
b2297d292892745a,0006c192,Mushroom Sorter (Assessment),0,4,0,0
ae691ec5ad5652cf,00129856,Bird Measurer (Assessment),1,0,1,3
7b536271e99518f0,001d0ed0,Bird Measurer (Assessment),0,5,0,0
8fdd5d389d0e272e,001d0ed0,Chest Sorter (Assessment),0,1,0,0
9480b026e3e7d371,001d0ed0,Cart Balancer (Assessment),1,0,1,3
c046a858e7c8bf03,001d0ed0,Mushroom Sorter (Assessment),1,1,0.5,2
dc6bc0284039c9fb,001d0ed0,Mushroom Sorter (Assessment),1,0,1,3
619b9c069cf790ca,00225f67,Bird Measurer (Assessment),0,2,0,0
346d5f57cf40bac0,00279ac5,Chest Sorter (Assessment),0,11,0,0
03e73cfb40d8d204,002db7e3,Mushroom Sorter (Assessment),1,1,0.5,2
113a557b60770369,002db7e3,Cart Balancer (Assessment),1,0,1,3
1c48bdca76efc7b0,002db7e3,Mushroom Sorter (Assessment),1,0,1,3
470a1bd6b99152a7,002db7e3,Cauldron Filler (Assessment),1,0,1,3
5025f22d6e944533,002db7e3,Bird Measurer (Assessment),1,4,0.2,1
67f9274eb736ab3f,002db7e3,Chest Sorter (Assessment),0,5,0,0
8f50f2fd987cade4,002db7e3,Bird Measurer (Assessment),1,1,0.5,2
cace4c493ac347e3,002db7e3,Bird Measurer (Assessment),1,10,0.09090909090909091,1
f50104895c55045f,002db7e3,Chest Sorter (Assessment),0,7,0,0
0adc585fb4f48458,003372b0,Cart Balancer (Assessment),1,0,1,3
272cc78535e9add1,003372b0,Cauldron Filler (Assessment),1,0,1,3
28113cd58d865372,003372b0,Bird Measurer (Assessment),1,1,0.5,2
3beae5a17e0b26f6,003372b0,Cart Balancer (Assessment),1,0,1,3
4649b29840d5b0f1,003372b0,Chest Sorter (Assessment),0,4,0,0
631971b2efa19b8d,003372b0,Mushroom Sorter (Assessment),1,0,1,3
343206b33bfa7941,004c2091,Bird Measurer (Assessment),0,1,0,0
